elapsed (s),x-axis (g),y-axis (g),z-axis (g)
11.599,-0.058,-0.186,1.012
11.599,-0.057,-0.184,1.025
11.712,-0.063,-0.096,1
11.712,-0.066,-0.153,0.949
11.712,-0.072,-0.004,1.049
11.835,-0.078,0.002,1.078
11.835,-0.073,0.185,1.146
11.835,-0.079,0.233,0.992
11.958,-0.06,0.103,0.998
11.959,-0.055,0.196,1.036
11.959,-0.067,0.169,1.022
12.082,-0.068,0.171,0.994
12.082,-0.059,0.285,1.005
12.082,-0.061,0.346,1.003
12.195,-0.056,0.306,0.983
12.195,-0.058,0.339,0.968
12.195,-0.056,0.284,0.987
12.318,-0.062,0.331,1.017
12.319,-0.054,0.261,0.992
12.319,-0.062,0.291,0.99
12.442,-0.062,0.321,0.984
12.442,-0.059,0.277,0.988
12.442,-0.065,0.355,0.991
12.567,-0.064,0.368,0.977
12.567,-0.069,0.327,0.975
12.567,-0.065,0.336,1
12.679,-0.073,0.354,0.978
12.679,-0.068,0.325,0.969
12.679,-0.068,0.352,0.986
12.804,-0.066,0.346,0.984
12.804,-0.068,0.313,0.979
12.804,-0.069,0.33,0.983
12.927,-0.068,0.295,1.007
12.927,-0.064,0.305,1.006
12.927,-0.06,0.296,0.971
13.039,-0.06,0.246,0.979
13.039,-0.056,0.211,1.048
13.039,-0.061,0.196,1.054
13.163,-0.064,0.131,1.012
13.163,-0.052,0.092,1.026
13.163,-0.053,0.085,1.048
13.287,-0.054,0.026,1.043
13.287,-0.055,0.002,1.04
13.287,-0.051,-0.01,1.035
13.41,-0.052,-0.11,1.023
13.41,-0.042,-0.137,1.066
13.41,-0.053,-0.145,1.017
13.523,-0.052,-0.27,0.954
13.523,-0.035,-0.214,1.012
13.523,-0.04,-0.268,0.983
13.647,-0.04,-0.278,1.018
13.647,-0.048,-0.255,0.99
13.647,-0.052,-0.339,0.971
13.771,-0.049,-0.315,1.009
13.771,-0.055,-0.409,0.938
13.771,-0.055,-0.367,0.969
13.895,-0.056,-0.438,0.933
13.895,-0.057,-0.422,0.943
13.895,-0.07,-0.482,0.853
14.007,-0.064,-0.531,0.935
14.007,-0.075,-0.53,0.889
14.007,-0.067,-0.54,0.844
14.131,-0.069,-0.555,0.788
14.131,-0.071,-0.588,0.832
14.131,-0.078,-0.63,0.885
14.255,-0.081,-0.594,0.858
14.255,-0.098,-0.588,0.741
14.255,-0.092,-0.639,0.694
14.367,-0.065,-0.668,0.767
14.367,-0.064,-0.653,0.821
14.367,-0.079,-0.624,0.845
14.491,-0.085,-0.611,0.767
14.491,-0.072,-0.65,0.797
14.491,-0.074,-0.64,0.798
14.614,-0.063,-0.607,0.834
14.615,-0.066,-0.572,0.821
14.615,-0.056,-0.585,0.819
14.738,-0.057,-0.554,0.835
14.738,-0.062,-0.549,0.816
14.738,-0.054,-0.506,0.926
14.851,-0.076,-0.488,0.915
14.851,-0.059,-0.43,0.938
14.851,-0.075,-0.373,0.919
14.974,-0.053,-0.384,0.973
14.975,-0.06,-0.277,0.973
14.975,-0.065,-0.292,1.027
15.098,-0.06,-0.142,1.045
15.099,-0.074,-0.191,0.985
15.099,-0.063,-0.09,1.062
15.222,-0.066,-0.042,1.018
15.222,-0.061,-0.041,1.065
15.222,-0.067,0.081,1.022
15.334,-0.069,0.042,1.024
15.334,-0.066,0.194,1.047
15.334,-0.071,0.233,0.993
15.458,-0.063,0.246,1.014
15.458,-0.067,0.35,0.984
15.458,-0.073,0.349,0.972
15.582,-0.066,0.422,0.953
15.582,-0.073,0.452,0.921
15.582,-0.07,0.469,0.932
15.706,-0.072,0.56,0.891
15.706,-0.076,0.551,0.869
15.706,-0.074,0.587,0.856
15.818,-0.074,0.624,0.813
15.818,-0.071,0.614,0.835
15.818,-0.076,0.688,0.82
15.942,-0.081,0.664,0.785
15.942,-0.073,0.724,0.736
15.942,-0.081,0.776,0.718
16.065,-0.072,0.687,0.731
16.066,-0.079,0.776,0.667
16.066,-0.09,0.783,0.67
16.178,-0.077,0.768,0.708
16.178,-0.101,0.839,0.605
16.178,-0.078,0.772,0.645
16.302,-0.09,0.861,0.623
16.302,-0.095,0.824,0.659
16.302,-0.074,0.788,0.601
16.425,-0.068,0.828,0.596
16.426,-0.072,0.823,0.643
16.426,-0.074,0.792,0.671
16.549,-0.074,0.816,0.679
16.549,-0.073,0.741,0.684
16.549,-0.063,0.69,0.743
16.662,-0.073,0.723,0.772
16.662,-0.073,0.652,0.807
16.662,-0.073,0.591,0.851
16.786,-0.075,0.565,0.852
16.786,-0.081,0.475,0.907
16.786,-0.082,0.468,0.934
16.909,-0.08,0.448,0.942
16.909,-0.085,0.337,0.963
16.909,-0.091,0.34,1.004
17.033,-0.085,0.29,0.999
17.033,-0.084,0.167,1.024
17.033,-0.086,0.201,1.034
17.145,-0.085,0.075,1.033
17.145,-0.081,0.056,1.06
17.146,-0.083,-0.021,1.02
17.269,-0.078,-0.093,1.047
17.27,-0.083,-0.113,1.026
17.27,-0.079,-0.182,1.01
17.393,-0.074,-0.192,0.998
17.393,-0.071,-0.275,1.026
17.393,-0.073,-0.247,1.013
17.517,-0.078,-0.385,0.963
17.517,-0.062,-0.329,1.008
17.517,-0.067,-0.39,0.92
17.63,-0.055,-0.407,0.942
17.63,-0.063,-0.46,0.907
17.63,-0.05,-0.526,0.875
17.753,-0.054,-0.537,0.852
17.754,-0.064,-0.59,0.818
17.754,-0.05,-0.604,0.841
17.877,-0.044,-0.595,0.845
17.877,-0.043,-0.63,0.79
17.877,-0.046,-0.637,0.78
17.99,-0.047,-0.673,0.744
17.99,-0.029,-0.699,0.801
17.99,-0.038,-0.663,0.759
18.113,-0.047,-0.643,0.626
18.113,-0.034,-0.674,0.696
18.113,-0.036,-0.734,0.816
18.237,-0.044,-0.685,0.807
18.237,-0.035,-0.631,0.758
18.237,-0.032,-0.655,0.752
18.361,-0.025,-0.672,0.806
18.361,-0.035,-0.647,0.729
18.361,-0.038,-0.65,0.751
18.473,-0.026,-0.629,0.818
18.473,-0.034,-0.599,0.808
18.473,-0.033,-0.547,0.828
18.597,-0.031,-0.547,0.834
18.597,-0.022,-0.478,0.877
18.597,-0.036,-0.462,0.918
18.721,-0.039,-0.385,0.982
18.721,-0.054,-0.406,0.936
18.721,-0.036,-0.306,1.038
18.845,-0.053,-0.24,0.994
18.845,-0.038,-0.273,1.038
18.845,-0.038,-0.126,1.02
18.957,-0.05,-0.156,1.004
18.957,-0.043,-0.078,1.061
18.957,-0.061,-0.018,1.038
19.081,-0.06,-0.052,1.04
19.081,-0.057,0.125,1.075
19.081,-0.067,0.171,1.034
19.204,-0.06,0.147,1.011
19.205,-0.073,0.355,0.995
19.205,-0.072,0.39,0.949
19.317,-0.076,0.472,0.953
19.317,-0.088,0.521,0.881
19.317,-0.074,0.575,0.891
19.441,-0.087,0.655,0.814
19.441,-0.074,0.637,0.779
19.441,-0.074,0.723,0.758
19.565,-0.072,0.689,0.722
19.565,-0.067,0.731,0.722
19.565,-0.07,0.785,0.675
19.687,-0.066,0.752,0.704
19.688,-0.069,0.789,0.687
19.688,-0.067,0.767,0.662
19.8,-0.064,0.776,0.666
19.801,-0.063,0.812,0.665
19.801,-0.065,0.767,0.687
19.925,-0.059,0.751,0.714
